日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2024/04/29,臺指選擇權,外資,195633,1001132,194209,1007007,1424,-5875,74494,1038438,71058,769801,3436,268637
2024/04/29,臺指選擇權,投信,0,0,0,0,0,0,246,3622,180,1123,66,2499
2024/04/29,臺指選擇權,自營商,232449,875419,225855,929901,6594,-54482,135321,1303244,106841,972806,28480,330438
2024/04/30,臺指選擇權,外資,167322,742546,168687,747414,-1365,-4869,75268,939247,73197,791931,2071,147316
2024/04/30,臺指選擇權,投信,0,0,0,0,0,0,246,3410,180,877,66,2533
2024/04/30,臺指選擇權,自營商,180042,554458,183286,580984,-3244,-26527,139486,1203340,114250,880691,25236,322649
2024/05/02,臺指選擇權,外資,281812,868016,284008,879942,-2196,-11926,62681,779792,64964,743553,-2283,36239
2024/05/02,臺指選擇權,投信,0,0,0,0,0,0,246,2975,180,572,66,2403
2024/05/02,臺指選擇權,自營商,327262,759917,350701,843628,-23439,-83711,91264,961123,86134,722065,5130,239058
2024/05/03,臺指選擇權,外資,185174,1000935,181923,974077,3251,26858,72816,829572,71848,728840,968,100732
2024/05/03,臺指選擇權,投信,0,0,0,0,0,0,246,2921,180,614,66,2307
2024/05/03,臺指選擇權,自營商,206883,718482,204876,733476,2007,-14994,114733,989372,107596,775948,7137,213424
2024/05/06,臺指選擇權,外資,217400,1005340,214565,1011792,2835,-6452,76554,887488,72751,678859,3803,208629
2024/05/06,臺指選擇權,投信,0,0,0,0,0,0,246,3195,180,870,66,2325
2024/05/06,臺指選擇權,自營商,242039,840879,247893,853103,-5854,-12224,120165,1039339,118882,870541,1283,168798
2024/05/07,臺指選擇權,外資,198265,811549,202003,832653,-3738,-21104,78486,898302,78421,695955,65,202347
2024/05/07,臺指選擇權,投信,0,0,0,0,0,0,246,3312,180,896,66,2416
2024/05/07,臺指選擇權,自營商,231646,635048,227721,609655,3925,25394,130283,1066740,125075,885877,5208,180863
2024/05/08,臺指選擇權,外資,249563,711106,252807,726722,-3244,-15616,66412,872104,73690,662741,-7278,209363
2024/05/08,臺指選擇權,投信,0,0,0,0,0,0,246,3476,180,996,66,2480
2024/05/08,臺指選擇權,自營商,294230,564047,266771,502995,27459,61052,108109,1056421,87438,826598,20671,229823
2024/05/09,臺指選擇權,外資,127900,686447,121477,681852,6423,4594,73222,811542,74077,660974,-855,150568
2024/05/09,臺指選擇權,投信,0,0,0,0,0,0,246,3008,180,624,66,2384
2024/05/09,臺指選擇權,自營商,146397,516547,144053,528901,2344,-12354,124010,1009431,100995,771528,23015,237903
2024/05/10,臺指選擇權,外資,142691,724886,144724,723744,-2033,1142,75494,931920,78382,683296,-2888,248624
2024/05/10,臺指選擇權,投信,0,0,0,0,0,0,246,3725,180,1078,66,2647
2024/05/10,臺指選擇權,自營商,181777,621674,174931,614774,6846,6900,133489,1076637,103628,873965,29861,202672
2024/05/13,臺指選擇權,外資,182313,819363,181106,831039,1207,-11675,76927,936007,78608,668423,-1681,267584
2024/05/13,臺指選擇權,投信,0,0,0,0,0,0,246,3930,180,1194,66,2736
2024/05/13,臺指選擇權,自營商,235708,698087,249611,763698,-13903,-65611,129985,1065681,114027,936228,15958,129453
2024/05/14,臺指選擇權,外資,154637,575442,160915,589793,-6278,-14351,80253,1050487,88212,726733,-7959,323754
2024/05/14,臺指選擇權,投信,0,0,0,0,0,0,246,4445,180,1641,66,2804
2024/05/14,臺指選擇權,自營商,209453,522720,195077,457592,14376,65128,144164,1182295,113830,1013932,30334,168363
