日期,單位名稱,買進金額,賣出金額,買賣差額
2024-02-27,自營商(避險),"11,119,887,228","15,653,588,398","-4,533,701,170"
2024-02-27,合計,"155,486,608,638","175,456,239,467","-19,969,630,829"
2024-02-27,外資及陸資(不含外資自營商),"131,629,546,123","143,813,220,218","-12,183,674,095"
2024-02-27,投信,"5,773,996,461","8,334,007,770","-2,560,011,309"
2024-02-29,投信,"4,834,785,704","5,663,225,355","-828,439,651"
2024-02-29,自營商(自行買賣),"7,568,194,952","3,705,688,375","3,862,506,577"
2024-02-29,外資及陸資(不含外資自營商),"182,849,704,612","179,720,379,339","3,129,325,273"
2024-02-29,外資自營商,"806,120","423,460","382,660"
2024-02-29,合計,"207,552,069,715","199,665,503,681","7,886,566,034"
2024-02-29,自營商(避險),"12,299,384,447","10,576,210,612","1,723,173,835"
2024-03-01,合計,"153,773,834,367","148,559,891,208","5,213,943,159"
2024-03-01,自營商(自行買賣),"8,219,943,339","7,281,923,544","938,019,795"
2024-03-01,自營商(避險),"10,689,305,850","16,790,831,268","-6,101,525,418"
2024-03-01,外資自營商,"442,610","1,077,310","-634,700"
2024-03-01,外資及陸資(不含外資自營商),"128,706,177,595","118,435,211,312","10,270,966,283"
2024-03-01,投信,"6,158,407,583","6,051,925,084","106,482,499"
2024-03-04,外資及陸資(不含外資自營商),"171,115,913,415","134,237,257,187","36,878,656,228"
2024-03-04,外資自營商,"1,168,280","846,170","322,110"
2024-03-04,合計,"207,182,980,675","162,668,399,217","44,514,581,458"
2024-03-04,自營商(自行買賣),"8,179,342,484","7,082,079,935","1,097,262,549"
2024-03-04,投信,"12,313,143,750","4,834,123,503","7,479,020,247"
2024-03-04,自營商(避險),"15,574,581,026","16,514,938,592","-940,357,566"
2024-03-05,投信,"8,642,953,700","5,816,703,513","2,826,250,187"
2024-03-05,外資及陸資(不含外資自營商),"144,657,498,882","138,800,034,938","5,857,463,944"
2024-03-05,合計,"173,194,934,994","166,248,525,759","6,946,409,235"
2024-03-05,自營商(自行買賣),"5,489,733,102","5,097,070,333","392,662,769"
2024-03-05,外資自營商,"1,057,390","1,377,770","-320,380"
2024-03-05,自營商(避險),"14,404,749,310","16,534,716,975","-2,129,967,665"
2024-03-06,外資自營商,"1,042,700","595,880","446,820"
2024-03-06,自營商(避險),"13,225,873,692","16,602,965,567","-3,377,091,875"
2024-03-06,外資及陸資(不含外資自營商),"132,277,630,768","133,413,607,714","-1,135,976,946"
2024-03-06,投信,"8,831,184,525","6,219,580,543","2,611,603,982"
2024-03-06,自營商(自行買賣),"6,926,174,648","5,164,337,816","1,761,836,832"
2024-03-06,合計,"161,260,863,633","161,400,491,640","-139,628,007"
2024-03-07,自營商(自行買賣),"6,813,451,441","9,602,865,498","-2,789,414,057"
2024-03-07,外資及陸資(不含外資自營商),"174,598,284,087","162,645,657,062","11,952,627,025"
2024-03-07,自營商(避險),"16,883,801,121","19,750,569,424","-2,866,768,303"
2024-03-07,投信,"11,009,419,509","8,189,445,617","2,819,973,892"
2024-03-07,外資自營商,"1,115,030","320,220","794,810"
2024-03-07,合計,"209,304,956,158","200,188,537,601","9,116,418,557"
2024-03-08,外資自營商,"683,320","1,966,140","-1,282,820"
2024-03-08,外資及陸資(不含外資自營商),"223,941,147,947","180,704,895,497","43,236,252,450"
2024-03-08,合計,"265,909,680,982","225,338,258,574","40,571,422,408"
2024-03-08,自營商(避險),"22,911,408,805","22,406,084,961","505,323,844"
2024-03-08,投信,"10,220,856,129","9,986,353,145","234,502,984"
2024-03-08,自營商(自行買賣),"8,836,268,101","12,240,924,971","-3,404,656,870"
2024-03-11,外資及陸資(不含外資自營商),"140,592,456,682","145,199,753,075","-4,607,296,393"
2024-03-11,合計,"171,036,442,799","170,320,885,342","715,557,457"
2024-03-11,外資自營商,"451,700","242,300","209,400"
2024-03-11,自營商(避險),"14,174,842,736","13,667,240,971","507,601,765"
2024-03-11,投信,"8,227,823,174","5,587,129,287","2,640,693,887"
2024-03-11,自營商(自行買賣),"8,041,320,207","5,866,762,009","2,174,558,198"
2024-03-12,外資及陸資(不含外資自營商),"152,204,454,737","146,392,796,839","5,811,657,898"
2024-03-12,自營商(自行買賣),"10,238,809,507","4,759,150,984","5,479,658,523"
2024-03-12,合計,"189,366,633,249","173,120,205,685","16,246,427,564"
2024-03-12,投信,"9,999,433,907","9,218,605,384","780,828,523"
2024-03-12,外資自營商,"228,400","760,410","-532,010"
2024-03-12,自營商(避險),"16,923,935,098","12,749,652,478","4,174,282,620"
2024-03-13,外資自營商,"857,270","443,880","413,390"
2024-03-13,自營商(避險),"14,984,350,582","21,062,489,620","-6,078,139,038"
